True,Unnamed: 0,Call ID,person_ID,Referal Source,Attorney,Injury 1,Injury 2,Injury 3,Injury 4,Injury 5,surgery,injury_date,intake,take,person_id,name,sex,date of birth,Person ID Check,Facebook,Google,Other,Referal,Website,Female,Male,Age of Client,Ankle,Arm,Elbow,Eye,Foot/Feet,Hand,Hands,Head,Hip,Neck
28,28,164,128,Facebook,Ally Mcbeal,Head,Elbow,,,,Yes,2015-07-25,2017-02-18,No,128,Betty Endicott,Female,1992-05-01,0,1,0,0,0,0,1,0,8485 days 00:00:00.000000000,0,0,1,0,0,0,0,1,0,0
29,29,165,129,Website,Rusty Sabich,Hip,,,,,Yes,2015-06-08,2017-02-19,Yes,129,David Bishop,Male,1960-10-18,0,0,0,0,0,1,0,1,19956 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
30,30,166,130,,Rachel Zane,Eye,,,,,Yes,2016-01-24,2017-02-19,Yes,130,Jane Ross,Female,1965-09-12,0,0,0,0,0,0,1,0,18396 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
31,31,167,131,Website,Joanee Galloway,Hands,Foot/Feet,Eye,,,Yes,2015-03-24,2017-02-20,Yes,131,Joseph Windus,Male,2029-05-27,0,0,0,0,0,1,0,1,-5178 days +00:00:00.000000000,0,0,0,1,1,0,1,0,0,0
32,32,168,132,Website,Atticus Finch,Hip,Elbow,Ankle,Eye,,No,2016-08-29,2017-02-20,No,132,Christopher Gilbert,Male,2010-09-21,0,0,0,0,0,1,0,1,2169 days 00:00:00.000000000,1,0,1,1,0,0,0,0,1,0
33,33,169,133,Referal,Daniel Kafee,Foot/Feet,,,,,Yes,2016-12-22,2017-02-21,Yes,133,Robert Salisbury,Male,1965-06-22,0,0,0,0,1,0,0,1,18811 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,0
34,34,170,134,Website,Rachel Zane,Neck,Head,,,,No,2016-05-18,2017-02-22,Yes,134,Pauline Steele,Female,1969-10-18,0,0,0,0,0,1,1,0,17014 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,1
35,35,171,135,Facebook,Joanee Galloway,Elbow,Foot/Feet,Neck,,,Yes,2013-07-06,2017-02-23,No,135,Anne Novotny,Female,1936-02-18,0,1,0,0,0,0,1,0,28263 days 00:00:00.000000000,0,0,1,0,1,0,0,0,0,1
36,36,172,136,Google,Atticus Finch,Arm,Elbow,,,,No,2016-10-28,2017-02-23,No,136,Wilbert Glass,Male,1976-10-10,0,0,1,0,0,0,0,1,14628 days 00:00:00.000000000,0,1,1,0,0,0,0,0,0,0
37,37,173,137,Website,Atticus Finch,Elbow,Foot/Feet,,,,No,2014-07-13,2017-02-24,No,137,Carol Noble,Female,1997-02-11,0,0,0,0,0,1,1,0,6361 days 00:00:00.000000000,0,0,1,0,1,0,0,0,0,0
38,38,174,138,Website,Patty Hewes,Foot/Feet,,,,,Yes,2013-01-15,2017-02-25,No,138,Constance Fulmer,Female,2004-03-07,0,0,0,0,0,1,1,0,3236 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,0
39,39,175,139,Other,Patty Hewes,Eye,,,,,Yes,2015-08-12,2017-02-26,Yes,139,Renee Simon,Female,1995-10-29,0,0,0,1,0,0,1,0,7227 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
40,40,176,140,,Atticus Finch,Ankle,,,,,No,2014-10-16,2017-02-27,No,140,Juan Dunn,Male,1969-10-06,0,0,0,0,0,0,0,1,16446 days 00:00:00.000000000,1,0,0,0,0,0,0,0,0,0
41,41,177,141,,Rachel Zane,Head,,,,,Yes,2016-10-20,2017-02-28,No,141,Kristie Price,Female,2021-05-29,0,0,0,0,0,0,1,0,-1682 days +00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
42,42,178,142,Other,Rachel Zane,Head,Eye,,,,Yes,2013-09-12,2017-03-01,No,142,Thomas Nichols,Male,1988-09-04,0,0,0,1,0,0,0,1,9139 days 00:00:00.000000000,0,0,0,1,0,0,0,1,0,0
43,43,179,143,Website,Rachel Zane,Eye,Foot/Feet,,,,No,2012-12-12,2017-03-02,No,143,Kimberly Harms,Female,1979-06-28,0,0,0,0,0,1,1,0,12221 days 00:00:00.000000000,0,0,0,1,1,0,0,0,0,0
44,44,180,144,Website,Ally Mcbeal,Hip,Head,Ankle,,,No,2013-03-16,2017-03-02,No,144,Lyle Murray,Male,2021-10-16,0,0,0,0,0,1,0,1,-3136 days +00:00:00.000000000,1,0,0,0,0,0,0,1,1,0
45,45,181,145,,Patty Hewes,Arm,Head,Hand,,,No,2014-05-23,2017-03-02,No,145,Michele Stephens,Female,2005-09-27,0,0,0,0,0,0,1,0,3160 days 00:00:00.000000000,0,1,0,0,0,1,0,1,0,0
46,46,182,146,Referal,Rachel Zane,Hand,,,,,Yes,2016-06-18,2017-03-03,Yes,146,Lee Finney,Male,1976-10-21,0,0,0,0,1,0,0,1,14485 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
47,47,183,147,Website,Atticus Finch,Hand,,,,,No,2012-10-28,2017-03-04,No,147,Michael Coffin,Male,1983-01-14,0,0,0,0,0,1,0,1,10880 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
48,48,184,148,Website,Patty Hewes,Eye,,,,,Yes,2012-06-27,2017-03-05,No,148,Martha Jordan,Female,1987-08-23,0,0,0,0,0,1,1,0,9075 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
49,49,185,149,Facebook,Atticus Finch,Foot/Feet,Hip,,,,No,2016-02-05,2017-03-06,No,149,Corinne Hansen,Female,1969-08-29,0,1,0,0,0,0,1,0,16961 days 00:00:00.000000000,0,0,0,0,1,0,0,0,1,0
50,50,186,150,Other,Joanee Galloway,Hand,,,,,Yes,2016-10-10,2017-03-06,Yes,150,Drew Rowe,Male,1983-08-20,0,0,0,1,0,0,0,1,12105 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,0
51,51,187,151,,Atticus Finch,Arm,Hand,,,,Yes,2016-10-25,2017-03-06,Yes,151,Margaret Belk,Female,1962-01-11,0,0,0,0,0,0,1,0,20011 days 00:00:00.000000000,0,1,0,0,0,1,0,0,0,0
52,52,188,152,Website,Patty Hewes,Foot/Feet,Hand,,,,No,2011-12-05,2017-03-07,No,152,Michael Swihart,Male,1957-05-05,0,0,0,0,0,1,0,1,19937 days 00:00:00.000000000,0,0,0,0,1,1,0,0,0,0
53,53,189,153,Facebook,Joanee Galloway,Elbow,Head,,,,No,2016-10-11,2017-03-07,No,153,Robin Mercado,Male,2002-12-10,0,1,0,0,0,0,0,1,5054 days 00:00:00.000000000,0,0,1,0,0,0,0,1,0,0
54,54,190,154,,Rachel Zane,Eye,,,,,No,2014-11-30,2017-03-07,No,154,Sharon Hoover,Female,1976-03-22,0,0,0,0,0,0,1,0,14132 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
55,55,191,155,Other,Rachel Zane,Arm,Elbow,,,,No,2015-10-02,2017-03-08,Yes,155,Nancy Heinrich,Female,2001-03-27,0,0,0,1,0,0,1,0,5302 days 00:00:00.000000000,0,1,1,0,0,0,0,0,0,0
56,56,192,156,Other,Rusty Sabich,Head,Ankle,,,,Yes,2013-11-03,2017-03-08,No,156,Enrique Carney,Male,1996-09-16,0,0,0,1,0,0,0,1,6257 days 00:00:00.000000000,1,0,0,0,0,0,0,1,0,0
57,57,193,157,Google,Daniel Kafee,Ankle,Neck,Head,,,Yes,2016-01-25,2017-03-08,Yes,157,Harold Hicks,Male,2022-11-21,0,0,1,0,0,0,0,1,-2492 days +00:00:00.000000000,1,0,0,0,0,0,0,1,0,1
58,58,194,158,,Joanee Galloway,Hip,,,,,Yes,2016-10-03,2017-03-09,No,158,Tristan Myatt,Male,1990-12-26,0,0,0,0,0,0,0,1,9413 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
59,59,195,159,,Daniel Kafee,Neck,,,,,Yes,2017-02-16,2017-03-09,Yes,159,Eva Erickson,Female,1958-05-02,0,0,0,0,0,0,1,0,21475 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
60,60,196,160,,Rusty Sabich,Head,Arm,Hands,,,No,2016-09-12,2017-03-10,Yes,160,Scott Phillips,Male,1967-05-22,0,0,0,0,0,0,0,1,18011 days 00:00:00.000000000,0,1,0,0,0,0,1,1,0,0
61,61,197,161,Website,Rusty Sabich,Neck,Eye,Head,Hip,,No,2016-07-30,2017-03-10,Yes,161,Israel Welchel,Male,1974-11-08,0,0,0,0,0,1,0,1,15240 days 00:00:00.000000000,0,0,0,1,0,0,0,1,1,1
62,62,198,162,,Patty Hewes,Hands,,,,,No,2009-07-29,2017-03-11,No,162,Victoria Bobo,Female,1981-02-28,0,0,0,0,0,0,1,0,10378 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
63,63,199,163,Referal,Rachel Zane,Hip,,,,,No,2011-05-07,2017-03-12,No,163,Bette Stones,Female,2003-09-17,0,0,0,0,1,0,1,0,2789 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
64,64,200,164,Referal,Rachel Zane,Hip,Arm,,,,No,2013-06-28,2017-03-12,No,164,Reed Henderson,Male,2023-03-10,0,0,0,0,1,0,0,1,-3542 days +00:00:00.000000000,0,1,0,0,0,0,0,0,1,0
65,65,201,165,Other,Patty Hewes,Head,,,,,No,2016-02-10,2017-03-12,Yes,165,Betty Weitz,Female,2023-12-17,0,0,0,1,0,0,1,0,-2867 days +00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
66,66,202,166,Other,Atticus Finch,Hip,Eye,,,,No,2015-05-03,2017-03-12,No,166,John Hilton,Male,1954-03-14,0,0,0,1,0,0,0,1,22330 days 00:00:00.000000000,0,0,0,1,0,0,0,0,1,0
67,67,203,167,Referal,Perry Mason,Hands,Arm,,,,Yes,2015-08-21,2017-03-12,Yes,167,John Roberts,Male,1995-08-24,0,0,0,0,1,0,0,1,7302 days 00:00:00.000000000,0,1,0,0,0,0,1,0,0,0
68,68,204,168,Facebook,Daniel Kafee,Eye,,,,,No,2016-03-17,2017-03-12,Yes,168,Rebecca Segura,Female,1993-05-17,0,1,0,0,0,0,1,0,8340 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
69,69,205,169,,Atticus Finch,Head,,,,,Yes,2011-05-26,2017-03-13,No,169,Leonarda Johnson,Female,2006-06-01,0,0,0,0,0,0,1,0,1820 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
70,70,206,170,,Atticus Finch,Hands,,,,,Yes,2015-11-06,2017-03-13,No,170,William Nash,Male,1996-10-14,0,0,0,0,0,0,0,1,6962 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
71,71,207,171,Website,Perry Mason,Ankle,Hands,Neck,,,Yes,2014-04-25,2017-03-13,No,171,Devora Jurado,Female,1970-09-26,0,0,0,0,0,1,1,0,15917 days 00:00:00.000000000,1,0,0,0,0,0,1,0,0,1
72,72,208,172,Referal,Patty Hewes,Head,Hip,,,,Yes,2015-08-11,2017-03-13,Yes,172,Lenny Hossack,,1989-05-09,0,0,0,0,1,0,0,0,9590 days 00:00:00.000000000,0,0,0,0,0,0,0,1,1,0
73,73,209,173,Website,Patty Hewes,Hands,Head,,,,No,2015-08-14,2017-03-14,Yes,173,Regina Lamb,Female,1977-07-22,0,0,0,0,0,1,1,0,13902 days 00:00:00.000000000,0,0,0,0,0,0,1,1,0,0
74,74,210,174,Google,Daniel Kafee,Foot/Feet,Hip,,,,Yes,2016-02-14,2017-03-15,No,174,Cara Merlette,Female,2006-05-11,0,0,1,0,0,0,1,0,3566 days 00:00:00.000000000,0,0,0,0,1,0,0,0,1,0
75,75,211,175,,Ally Mcbeal,Eye,Hands,,,,No,2017-03-14,2017-03-16,Yes,175,Debra Clark,Female,2015-01-06,0,0,0,0,0,0,1,0,798 days 00:00:00.000000000,0,0,0,1,0,0,1,0,0,0
76,76,212,176,Google,Daniel Kafee,Head,Eye,Hands,,,No,2015-05-26,2017-03-16,No,176,Anita Rayome,Female,2011-08-24,0,0,1,0,0,0,1,0,1371 days 00:00:00.000000000,0,0,0,1,0,0,1,1,0,0
77,77,213,177,Facebook,Perry Mason,Ankle,Arm,,,,Yes,2015-12-28,2017-03-17,No,177,Frances Myers,Female,1999-09-25,0,1,0,0,0,0,1,0,5938 days 00:00:00.000000000,1,1,0,0,0,0,0,0,0,0
78,78,214,178,Referal,Daniel Kafee,Head,,,,,No,2014-05-15,2017-03-18,No,178,Roy Marinello,Male,1986-09-05,0,0,0,0,1,0,0,1,10114 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
79,79,215,179,,Atticus Finch,Neck,Hip,,,,Yes,2015-01-28,2017-03-18,No,179,Dorothy Just,Female,1988-11-26,0,0,0,0,0,0,1,0,9559 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,1
80,80,216,180,Facebook,Joanee Galloway,Foot/Feet,,,,,No,2015-07-17,2017-03-19,Yes,180,Sherry Zepeda,Female,1968-02-15,0,1,0,0,0,0,1,0,17319 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,0
81,81,217,181,Other,Joanee Galloway,Hands,,,,,No,2014-08-17,2017-03-20,No,181,Michael Morris,Male,1998-11-18,0,0,0,1,0,0,0,1,5751 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
82,82,218,182,Referal,Patty Hewes,Neck,,,,,Yes,2016-03-01,2017-03-21,Yes,182,Cynthia Aste,Female,1972-12-08,0,0,0,0,1,0,1,0,15789 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
83,83,219,183,Google,Patty Hewes,Neck,,,,,No,2015-10-04,2017-03-22,Yes,183,Lawrence Russi,Male,1968-07-07,0,0,1,0,0,0,0,1,17255 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
84,84,220,184,Facebook,Ally Mcbeal,Elbow,,,,,No,2015-05-01,2017-03-22,No,184,Margaret Alford,Female,2011-01-31,0,1,0,0,0,0,1,0,1551 days 00:00:00.000000000,0,0,1,0,0,0,0,0,0,0
85,85,221,185,Facebook,Ally Mcbeal,Elbow,,,,,No,2013-12-28,2017-03-22,No,185,Paula Evans,Female,1909-02-10,0,1,0,0,0,0,1,0,38307 days 00:00:00.000000000,0,0,1,0,0,0,0,0,0,0
86,86,222,186,,Atticus Finch,Head,Hands,Foot/Feet,,,Yes,2011-02-17,2017-03-22,No,186,Retha Fisher,Female,1955-03-14,0,0,0,0,0,0,1,0,20429 days 00:00:00.000000000,0,0,0,0,1,0,1,1,0,0
87,87,223,187,,Ally Mcbeal,Arm,Eye,Hands,,,No,2015-10-03,2017-03-23,Yes,187,Karen Stoker,Female,1960-09-15,0,0,0,0,0,0,1,0,20106 days 00:00:00.000000000,0,1,0,1,0,0,1,0,0,0
88,88,224,188,,Perry Mason,Hand,Foot/Feet,Hip,Head,,No,2016-01-04,2017-03-24,No,188,Manuel Oday,Male,1996-10-16,0,0,0,0,0,0,0,1,7019 days 00:00:00.000000000,0,0,0,0,1,1,0,1,1,0
89,89,225,189,Facebook,Daniel Kafee,Neck,,,,,Yes,2015-07-25,2017-03-24,Yes,189,Richard Berryman,Male,1972-09-10,0,1,0,0,0,0,0,1,15658 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
90,90,226,190,Referal,Joanee Galloway,Hand,Eye,Neck,,,No,2016-03-14,2017-03-24,Yes,190,Lisa Barth,Female,1961-12-22,0,0,0,0,1,0,1,0,19806 days 00:00:00.000000000,0,0,0,1,0,1,0,0,0,1
91,91,227,191,,Atticus Finch,Hands,,,,,Yes,2014-07-28,2017-03-24,No,191,Barbara Coffelt,Female,2016-12-28,0,0,0,0,0,0,1,0,-884 days +00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
92,92,228,192,Facebook,Rusty Sabich,Head,,,,,No,2013-03-27,2017-03-24,No,192,Marilyn Nguyen,Female,2008-06-13,0,1,0,0,0,0,1,0,1748 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
93,93,229,193,Google,Rusty Sabich,Foot/Feet,,,,,No,2015-02-18,2017-03-24,No,193,Marianne Hier,Female,1972-10-26,0,0,1,0,0,0,1,0,15455 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,0
94,94,230,194,Google,Perry Mason,Hip,,,,,No,2015-03-17,2017-03-24,No,194,Mary Church,Female,1981-05-24,0,0,1,0,0,0,1,0,12350 days 00:00:00.000000000,0,0,0,0,0,0,0,0,1,0
95,95,231,195,,Ally Mcbeal,Eye,Hip,,,,Yes,2016-12-25,2017-03-25,Yes,195,Michael Ludgate,Male,1973-10-23,0,0,0,0,0,0,0,1,15769 days 00:00:00.000000000,0,0,0,1,0,0,0,0,1,0
96,96,232,196,,,Eye,Foot/Feet,,,,No,2016-05-08,2017-03-26,Yes,196,Jerry Wilson,Male,1985-03-29,0,0,0,0,0,0,0,1,11363 days 00:00:00.000000000,0,0,0,1,1,0,0,0,0,0
97,97,233,197,Other,Joanee Galloway,Neck,Hip,Arm,,,Yes,2016-07-30,2017-03-26,Yes,197,Kathryn White,Female,1988-09-05,0,0,0,1,0,0,1,0,10190 days 00:00:00.000000000,0,1,0,0,0,0,0,0,1,1
98,98,234,198,Facebook,Patty Hewes,Hand,Neck,,,,Yes,2013-11-22,2017-03-27,No,198,Carolyn Douglas,Female,1986-09-27,0,1,0,0,0,0,1,0,9918 days 00:00:00.000000000,0,0,0,0,0,1,0,0,0,1
99,99,235,199,Referal,Perry Mason,Head,,,,,Yes,2014-03-18,2017-03-27,No,199,Thomas Mccorkle,Male,1972-03-02,0,0,0,0,1,0,0,1,15356 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
100,100,236,200,Google,Joanee Galloway,Ankle,,,,,Yes,2016-12-10,2017-03-28,No,200,David Situ,Male,1978-04-22,0,0,1,0,0,0,0,1,14112 days 00:00:00.000000000,1,0,0,0,0,0,0,0,0,0
101,101,237,201,Website,Joanee Galloway,Elbow,Neck,Foot/Feet,,,No,2017-02-17,2017-03-28,Yes,201,Frederick Hall,Male,1983-12-15,0,0,0,0,0,1,0,1,12118 days 00:00:00.000000000,0,0,1,0,1,0,0,0,0,1
102,102,238,202,Other,Atticus Finch,Eye,Arm,,,,No,2015-06-24,2017-03-28,No,202,Mark Thomas,Male,1973-04-03,0,0,0,1,0,0,0,1,15422 days 00:00:00.000000000,0,1,0,1,0,0,0,0,0,0
103,103,239,203,Facebook,Joanee Galloway,Eye,Elbow,,,,No,2013-11-05,2017-03-28,No,203,Yvette Lombardo,Female,2021-06-14,0,1,0,0,0,0,1,0,-2778 days +00:00:00.000000000,0,0,1,1,0,0,0,0,0,0
104,104,240,204,Google,Patty Hewes,Head,,,,,No,2015-11-18,2017-03-28,No,204,Melanie Lahip,,1967-01-04,0,0,1,0,0,0,0,0,17850 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
105,105,241,205,Google,Rachel Zane,Foot/Feet,,,,,Yes,2016-08-24,2017-03-28,No,205,Timothy Glenn,Male,1982-10-31,0,0,1,0,0,0,0,1,12351 days 00:00:00.000000000,0,0,0,0,1,0,0,0,0,0
106,106,242,206,Other,Atticus Finch,Neck,,,,,No,2015-07-01,2017-03-29,No,206,Michael Sauls,Male,1966-07-20,0,0,0,1,0,0,0,1,17878 days 00:00:00.000000000,0,0,0,0,0,0,0,0,0,1
107,107,243,207,Facebook,Daniel Kafee,Head,,,,,No,2016-12-22,2017-03-30,No,207,Wiley Cota,Male,1977-12-31,0,1,0,0,0,0,0,1,14236 days 00:00:00.000000000,0,0,0,0,0,0,0,1,0,0
108,108,244,208,,Daniel Kafee,Eye,,,,,Yes,2014-10-24,2017-03-31,No,208,Pamela Brawley,Female,1977-10-15,0,0,0,0,0,0,1,0,13523 days 00:00:00.000000000,0,0,0,1,0,0,0,0,0,0
109,109,245,209,Google,Joanee Galloway,Hands,,,,,No,2016-02-23,2017-03-31,No,209,James Quintero,Male,1973-02-16,0,0,1,0,0,0,0,1,15712 days 00:00:00.000000000,0,0,0,0,0,0,1,0,0,0
110,110,246,210,Referal,Daniel Kafee,Head,Ankle,Foot/Feet,Neck,,No,2013-06-23,2017-03-31,No,210,Deborah Gerena,Female,2001-11-18,0,0,0,0,1,0,1,0,4235 days 00:00:00.000000000,1,0,0,0,1,0,0,1,0,1
111,111,247,211,Google,Patty Hewes,Hand,Hands,,,,Yes,2010-10-30,2017-04-01,No,211,Dale Kroll,Female,1953-12-18,0,0,1,0,0,0,1,0,20770 days 00:00:00.000000000,0,0,0,0,0,1,1,0,0,0
